BBC Radio Foyle	BBCRadioFoyle	http://pbs.twimg.com/profile_images/1599228727/foyle_logo_square_bigger.jpg	2015-04-03 11:20:41	We\'ve live football night from Turner\'s Cross for @CorkCityFC v @derrycityfc. Join @ericwhite80 &amp; Dave Barry for full commentary from 7.30pm	
Sleaford Mods	sleafordmods	http://pbs.twimg.com/profile_images/583081333062266880/l71PSQwd_bigger.jpg	2015-04-03 11:20:27	RT @suzanne_moore: Social media says the women won last night. The actual media ignores this or says the opposite. What gives?	
Guardian Tech	guardiantech	http://pbs.twimg.com/profile_images/564801097869426693/4SqRzoTD_bigger.png	2015-04-03 11:19:05	The iPad is 5, but is it a happy birthday? What do you use yours for? http://d.gu.com/9Dpzyn	
BBC News NI	BBCNewsNI	http://pbs.twimg.com/profile_images/378800000401014999/7fdc4b523c51ed04df1210d90b0ad71c_bigger.png	2015-04-03 11:18:01	Baby girl among three critical after north Belfast fire: http://bbc.in/1xHMPI5 http://t.co/0FGQS9fN0S	http://pbs.twimg.com/media/CBqc3wkXIAAJooW.jpg
DerrySketcher	DerrySketcher	http://pbs.twimg.com/profile_images/446397769172140033/Ml9GUj3W_bigger.jpeg	2015-04-03 11:15:33	RT @edinsketcher: This is where I will be tomorrow, selling my Prints, bags and cards, can you tell where it is? #edinburgh #market http://…	http://pbs.twimg.com/media/CBqS7J-W8AADdcH.jpg
techdirt	techdirt	http://pbs.twimg.com/profile_images/46559972/techdirt_logovertical_250x250_bigger.png	2015-04-03 11:14:51	FBI Uncovers Another Of Its Own Plots, Senator Feinstein Responds By Saying We Should Censor The Internet http://goo.gl/fb/q5QP91	
Belfast Telegraph	BelTel	http://pbs.twimg.com/profile_images/509993333746184194/iMuCNr2p_bigger.jpeg	2015-04-03 11:12:07	Irish parents abandon their three young children in England http://www.belfasttelegraph.co.uk/news/republic-of-ireland/irish-parents-abandon-their-three-young-children-in-england-31116026.html	
Belfast Telegraph	BelTel	http://pbs.twimg.com/profile_images/509993333746184194/iMuCNr2p_bigger.jpeg	2015-04-03 11:09:22	RT @BelTel_Ent: Spoiler excerpt: @GameOfThrones author George RR Martin posts chapter from #TheWindsOfWinter http://www.belfasttelegraph.co.uk/life/books/game-of-thrones-the-winds-of-winter-george-rr-martin-posts-excerpts-from-sixth-book-31116044.html http://…	http://pbs.twimg.com/media/CBqazZZUoAAqTfk.jpg
BittyBot	Bitty_Bot	http://pbs.twimg.com/profile_images/548767757622185985/syzH9WM1_bigger.png	2015-04-03 11:05:53	Try EssexBoy at https://LocalBitcoins.com/ad/165993?ch=w7m only £174.98 per BTC. (BPI +2.28%) #buy #bitcoin #banktrans	
ESA	esa	http://pbs.twimg.com/profile_images/459337133925216256/eqr4zgc2_bigger.png	2015-04-03 11:05:09	#FF for newly launched @ESA_Tech - with all the latest news and developments on ESA\'s space technology and our #SpaceTech centre #ESTEC	
The Register	TheRegister	http://pbs.twimg.com/profile_images/378800000628331746/5f111cbaa05662491e9e2468a26fd364_bigger.png	2015-04-03 11:04:17	Product roundup: Playing by stealth: Twelve gaming headsets to plonk on your noggin http://reg.cx/2eUb	
BBC News NI	BBCNewsNI	http://pbs.twimg.com/profile_images/378800000401014999/7fdc4b523c51ed04df1210d90b0ad71c_bigger.png	2015-04-03 11:02:21	Down bring in pair for Laois clash http://bbc.in/1BVcrg1	
TED Talks	TEDTalks	http://pbs.twimg.com/profile_images/3278476079/cb1f8cb5c856e6b5dfb9f79558b5728c_bigger.png	2015-04-03 11:01:40	This is ancient ice extracted from the Antarctic and bathed in polarized light: http://t.ted.com/vxmLVEV http://t.co/QPHXpDmtea	http://pbs.twimg.com/media/CBqZIWlW0AAklsb.jpg
City of Culture 2013	derry2013	http://pbs.twimg.com/profile_images/422699671358697472/EK7H75zx_bigger.png	2015-04-03 11:01:14	RT @nerve_centre: Legendary guitar player Eric Bell will be here Sept 5 for a masterclass &amp; Q&amp;A. Don\'t miss it! http://ow.ly/L9PE7 http…	http://pbs.twimg.com/media/CBqL4v3XIAAD-HR.jpg
RTL Luxembourg	RTLlu	http://pbs.twimg.com/profile_images/488975710426382336/_E3BglIE_bigger.png	2015-04-03 11:00:26	Zesummen an d\'Zukunft mat der #Caritas. Invitéen: Marie-Josée Jacobs an Norry Schneider: http://radio.rtl.lu/emissiounen/reportage/709899.html http://t.co/JIsXocMRB1	http://pbs.twimg.com/media/CBphTRgVIAA16pJ.jpg
Brian Magill	BrianJustBrian	http://pbs.twimg.com/profile_images/547530690427105281/lp-QaprD_bigger.jpeg	2015-04-03 10:59:46	RT @RossMcCaff: Good job you weren\'t in a debate with him for 2 hours when you could have told him directly. http://t.co/gYm1p8kzEU	http://pbs.twimg.com/media/CBnd5giWEAA3CRV.png
BBC Radio Foyle	BBCRadioFoyle	http://pbs.twimg.com/profile_images/1599228727/foyle_logo_square_bigger.jpg	2015-04-03 10:58:56	SDLP changes stance on MLA pay rise: SDLP assembly members have taken a pay rise after publicly saying it woul... http://bbc.in/1MKawGt	
RTL Luxembourg	RTLlu	http://pbs.twimg.com/profile_images/488975710426382336/_E3BglIE_bigger.png	2015-04-03 10:58:17	Vill #Stau op eisen Autobunnen, wéinst Camionsfuerverbuet an Däitschland #A3 #A6 #Lëtzebuerg<br>http://www.rtl.lu/letzebuerg//621432.html http://t.co/bsRhhXAfIw	http://pbs.twimg.com/media/CBqYWvVVEAE8Vkk.jpg
Belfast Telegraph	BelTel	http://pbs.twimg.com/profile_images/509993333746184194/iMuCNr2p_bigger.jpeg	2015-04-03 10:57:51	Belfast Telegraph front page Friday April 3, 2015 http://t.co/WF27QFPk7K	http://pbs.twimg.com/media/CBqYQMoWgAA5qtH.png
